OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,Sales,Total Cost,Profit,Year,Month,Profit Margin (%)
SO - 000372,Online,WARE-NMK1003,2018-04-10,2018-07-02,2018-07-08,2018-07-18,USD,18,21,128,5,3,0.05,410.04,911.2,2596.92,1230.1200000000001,1366.8,2018,July,52.63157894736842
SO - 000373,Online,WARE-XYS1001,2018-04-10,2018-07-02,2018-07-08,2018-07-11,USD,19,6,39,21,5,0.3,134.4,227.8,797.3,672.0,125.29999999999995,2018,July,15.715539947322208
SO - 000374,In-Store,WARE-NBV1002,2018-04-10,2018-07-02,2018-07-21,2018-07-27,USD,3,14,69,40,4,0.08,117.12,254.6,936.928,468.48,468.448,2018,July,49.998292291403395
SO - 000375,Wholesale,WARE-XYS1001,2017-12-31,2018-07-02,2018-07-20,2018-07-21,USD,27,33,29,35,3,0.08,444.21,683.4,1886.184,1332.6299999999999,553.5540000000001,2018,July,29.347826086956523
SO - 000376,In-Store,WARE-NMK1003,2018-04-10,2018-07-03,2018-07-15,2018-07-20,USD,4,43,159,20,7,0.05,2234.12,3919.5,26064.675,15638.84,10425.835,2018,July,39.999865718640265
SO - 000377,Wholesale,WARE-MKL1006,2018-04-10,2018-07-03,2018-07-24,2018-07-25,USD,26,25,353,12,8,0.05,786.31,1092.1,8299.96,6290.48,2009.4799999999996,2018,July,24.21071908780283
SO - 000378,In-Store,WARE-NMK1003,2018-04-10,2018-07-04,2018-07-24,2018-08-03,USD,4,10,199,20,4,0.05,536.27,924.6,3513.48,2145.08,1368.4,2018,July,38.94714072657309
SO - 000379,Online,WARE-NMK1003,2018-04-10,2018-07-04,2018-07-31,2018-08-06,USD,17,45,182,22,8,0.05,794.35,1018.4,7739.839999999999,6354.8,1385.039999999999,2018,July,17.89494356472484
SO - 000380,In-Store,WARE-MKL1006,2018-04-10,2018-07-04,2018-07-25,2018-07-28,USD,1,19,358,13,7,0.2,1305.9,1788.9,10017.840000000002,9141.300000000001,876.5400000000009,2018,July,8.74979037397284
SO - 000381,Distributor,WARE-NBV1002,2018-04-10,2018-07-04,2018-08-01,2018-08-08,USD,23,17,80,47,2,0.3,538.48,944.7,1322.58,1076.96,245.6199999999999,2018,July,18.571277351842603
SO - 000382,Wholesale,WARE-NMK1003,2017-12-31,2018-07-04,2018-07-30,2018-07-31,USD,25,39,140,29,3,0.1,2573.81,3959.7,10691.189999999999,7721.43,2969.7599999999984,2018,July,27.777637475341837
SO - 000383,In-Store,WARE-NMK1003,2018-04-10,2018-07-04,2018-07-19,2018-07-25,USD,6,11,146,41,5,0.05,70.35,167.5,795.625,351.75,443.875,2018,July,55.78947368421052
SO - 000384,Wholesale,WARE-NMK1003,2018-04-10,2018-07-04,2018-07-15,2018-07-23,USD,25,23,104,22,2,0.05,1975.03,3872.6,7357.94,3950.06,3407.8799999999997,2018,July,46.31568074760055
SO - 000385,In-Store,WARE-NMK1003,2017-12-31,2018-07-04,2018-07-14,2018-07-23,USD,12,12,185,23,8,0.05,3858.13,6539.2,49697.92,30865.04,18832.879999999997,2018,July,37.89470464759893
SO - 000386,Distributor,WARE-XYS1001,2018-04-10,2018-07-04,2018-07-23,2018-07-24,USD,23,44,51,6,1,0.1,779.08,1025.1,922.5899999999999,779.08,143.50999999999988,2018,July,15.555121993518236
SO - 000387,Distributor,WARE-NMK1003,2018-04-10,2018-07-04,2018-07-07,2018-07-16,USD,21,31,190,29,3,0.1,572.18,938.0,2532.6,1716.54,816.06,2018,July,32.22222222222222
SO - 000388,Wholesale,WARE-MKL1006,2018-04-10,2018-07-04,2018-07-08,2018-07-16,USD,26,19,355,27,3,0.08,804.8,1045.2,2884.7520000000004,2414.3999999999996,470.35200000000077,2018,July,16.304763806386156
SO - 000389,Wholesale,WARE-UHY1004,2018-04-10,2018-07-04,2018-07-19,2018-07-25,USD,28,20,205,19,8,0.15,112.23,167.5,1139.0,897.84,241.15999999999997,2018,July,21.172958735733097
SO - 000390,Online,WARE-MKL1006,2018-04-10,2018-07-04,2018-07-30,2018-07-31,USD,15,44,334,45,5,0.08,1377.52,1721.9,7920.740000000001,6887.6,1033.1400000000003,2018,July,13.043478260869568
SO - 000391,Online,WARE-UHY1004,2018-04-10,2018-07-05,2018-07-16,2018-07-19,USD,13,30,242,28,3,0.1,466.92,676.7,1827.0900000000001,1400.76,426.33000000000015,2018,July,23.33382591990543
SO - 000392,In-Store,WARE-NMK1003,2018-04-10,2018-07-05,2018-07-11,2018-07-18,USD,4,47,162,24,2,0.08,82.08,167.5,308.2,164.16,144.04,2018,July,46.73588578844906
SO - 000393,In-Store,WARE-UHY1004,2018-04-10,2018-07-05,2018-07-09,2018-07-17,USD,4,26,255,12,5,0.08,895.12,1118.9,5146.9400000000005,4475.6,671.3400000000001,2018,July,13.043478260869568
SO - 000394,Wholesale,WARE-XYS1001,2018-04-10,2018-07-05,2018-07-30,2018-08-09,USD,26,17,24,32,3,0.08,933.98,1139.0,3143.6400000000003,2801.94,341.7000000000003,2018,July,10.869565217391312
SO - 000395,In-Store,WARE-PUJ1005,2018-04-10,2018-07-05,2018-07-16,2018-07-26,USD,8,44,278,41,4,0.1,751.94,1748.7,6295.320000000001,3007.76,3287.5600000000004,2018,July,52.22228576148631
SO - 000396,In-Store,WARE-UHY1004,2018-04-10,2018-07-05,2018-07-18,2018-07-25,USD,5,13,258,27,8,0.05,1140.88,1728.6,13137.359999999999,9127.04,4010.319999999998,2018,July,30.52607220933276
SO - 000397,Wholesale,WARE-NMK1003,2018-04-10,2018-07-05,2018-07-16,2018-07-26,USD,27,13,183,23,8,0.08,500.49,1112.2,8185.792,4003.92,4181.872,2018,July,51.08695652173913
SO - 000398,In-Store,WARE-XYS1001,2018-04-10,2018-07-05,2018-07-13,2018-07-18,USD,3,9,58,1,6,0.05,1454.97,2385.2,13595.639999999998,8729.82,4865.819999999998,2018,July,35.789561947800905
SO - 000399,Wholesale,WARE-NBV1002,2017-12-31,2018-07-05,2018-07-10,2018-07-17,USD,26,18,83,3,8,0.3,172.46,221.1,1238.1599999999999,1379.68,-141.5200000000002,2018,July,-11.429863668669658
SO - 000400,Distributor,WARE-NMK1003,2018-04-10,2018-07-06,2018-08-02,2018-08-12,USD,23,1,120,29,7,0.05,2682.95,5708.4,37960.85999999999,18780.649999999998,19180.209999999995,2018,July,50.52627890938193
SO - 000401,Online,WARE-PUJ1005,2018-04-10,2018-07-06,2018-07-26,2018-08-03,USD,18,38,288,40,1,0.3,830.8,1038.5,726.9499999999999,830.8,-103.85000000000002,2018,July,-14.28571428571429
SO - 000402,In-Store,WARE-XYS1001,2018-04-10,2018-07-06,2018-07-09,2018-07-19,USD,5,43,19,35,4,0.15,3234.49,3993.2,13576.88,12937.96,638.9200000000001,2018,July,4.705941276640878
SO - 000403,Online,WARE-NMK1003,2017-12-31,2018-07-06,2018-08-01,2018-08-04,USD,16,14,191,33,8,0.2,792.34,1085.4,6946.560000000001,6338.72,607.840000000001,2018,July,8.750230329832332
SO - 000404,Online,WARE-PUJ1005,2018-04-10,2018-07-06,2018-07-21,2018-07-22,USD,12,36,278,23,7,0.1,2020.72,3886.0,24481.8,14145.04,10336.759999999998,2018,July,42.222222222222214
SO - 000405,In-Store,WARE-PUJ1005,2018-04-10,2018-07-06,2018-07-21,2018-07-25,USD,6,21,294,4,3,0.2,2670.96,3986.5,9567.6,8012.88,1554.7200000000003,2018,July,16.24984322087044
SO - 000406,Online,WARE-NMK1003,2018-04-10,2018-07-06,2018-07-27,2018-07-30,USD,18,41,120,32,3,0.08,988.92,1206.0,3328.56,2966.7599999999998,361.8000000000002,2018,July,10.86956521739131
SO - 000407,Wholesale,WARE-MKL1006,2018-04-10,2018-07-07,2018-07-13,2018-07-16,USD,28,38,357,7,1,0.3,1050.23,1842.5,1289.75,1050.23,239.51999999999998,2018,July,18.571040899399108
SO - 000408,Wholesale,WARE-PUJ1005,2018-04-10,2018-07-07,2018-07-21,2018-07-27,USD,27,22,296,35,3,0.05,2930.04,5051.8,14397.630000000001,8790.119999999999,5607.510000000002,2018,July,38.94745176810351
SO - 000409,Online,WARE-UHY1004,2018-04-10,2018-07-07,2018-07-20,2018-07-27,USD,14,4,248,39,1,0.08,466.32,1165.8,1072.536,466.32,606.2160000000001,2018,July,56.52173913043479
SO - 000410,Online,WARE-MKL1006,2018-04-10,2018-07-07,2018-07-25,2018-07-26,USD,15,21,333,2,8,0.08,2340.18,3966.4,29192.704,18721.44,10471.264000000003,2018,July,35.869455600961125
SO - 000411,Online,WARE-PUJ1005,2018-04-10,2018-07-07,2018-07-25,2018-08-03,USD,13,17,322,22,3,0.2,1495.91,1802.3,4325.5199999999995,4487.7300000000005,-162.21000000000095,2018,July,-3.750069355823137
SO - 000412,Online,WARE-NMK1003,2018-04-10,2018-07-08,2018-07-22,2018-07-31,USD,19,36,153,31,5,0.08,851.24,1105.5,5085.3,4256.2,829.1000000000004,2018,July,16.30385621300612
SO - 000413,Online,WARE-XYS1001,2018-04-10,2018-07-08,2018-07-24,2018-07-28,USD,12,16,46,32,7,0.05,1398.16,1889.4,12564.51,9787.12,2777.3899999999994,2018,July,22.10504030797858
SO - 000414,Online,WARE-MKL1006,2018-04-10,2018-07-08,2018-07-31,2018-08-01,USD,15,40,351,4,7,0.08,661.96,1018.4,6558.496,4633.72,1924.7759999999998,2018,July,29.34782608695652
SO - 000415,In-Store,WARE-PUJ1005,2018-04-10,2018-07-08,2018-07-21,2018-07-22,USD,3,8,293,40,5,0.05,2822.11,3865.9,18363.024999999998,14110.550000000001,4252.474999999997,2018,July,23.157813050954278
SO - 000416,Wholesale,WARE-UHY1004,2018-04-10,2018-07-08,2018-07-10,2018-07-15,USD,28,30,256,13,7,0.1,449.24,998.3,6289.29,3144.6800000000003,3144.6099999999997,2018,July,49.999443498391706
SO - 000417,Online,WARE-NMK1003,2018-04-10,2018-07-08,2018-07-30,2018-08-05,USD,18,48,148,31,2,0.08,127.3,254.6,468.464,254.6,213.864,2018,July,45.652173913043484
SO - 000418,Online,WARE-XYS1001,2018-04-10,2018-07-08,2018-08-02,2018-08-05,USD,13,13,6,38,5,0.4,316.58,703.5,2110.5,1582.8999999999999,527.6000000000001,2018,July,24.998815446576646
SO - 000419,Distributor,WARE-NBV1002,2018-04-10,2018-07-08,2018-08-04,2018-08-13,USD,23,47,62,1,6,0.05,546.05,1092.1,6224.969999999999,3276.2999999999997,2948.6699999999996,2018,July,47.368421052631575
SO - 000420,Online,WARE-NBV1002,2018-04-10,2018-07-08,2018-07-27,2018-08-04,USD,16,6,61,3,4,0.05,560.79,1038.5,3946.2999999999997,2243.16,1703.1399999999999,2018,July,43.15789473684211
SO - 000421,In-Store,WARE-NMK1003,2018-04-10,2018-07-08,2018-08-01,2018-08-05,USD,3,50,188,37,4,0.15,1894.89,2398.6,8155.24,7579.56,575.6799999999994,2018,July,7.0590197222889755
SO - 000422,Wholesale,WARE-NMK1003,2018-04-10,2018-07-09,2018-07-12,2018-07-14,USD,28,32,150,7,4,0.05,368.1,897.8,3411.64,1472.4,1939.2399999999998,2018,July,56.841870771828205
SO - 000423,Distributor,WARE-XYS1001,2018-04-10,2018-07-09,2018-07-29,2018-08-06,USD,25,30,39,46,7,0.15,3179.69,5212.6,31014.97,22257.83,8757.14,2018,July,28.235203838662425
SO - 000424,Online,WARE-NMK1003,2018-04-10,2018-07-09,2018-07-13,2018-07-20,USD,15,46,102,22,3,0.05,206.23,254.6,725.6099999999999,618.6899999999999,106.91999999999996,2018,July,14.735188324306442
SO - 000425,In-Store,WARE-UHY1004,2018-04-10,2018-07-09,2018-07-31,2018-08-04,USD,3,29,236,3,4,0.08,2120.15,3926.2,14448.416,8480.6,5967.815999999999,2018,July,41.3042924566956
SO - 000426,Online,WARE-PUJ1005,2018-04-10,2018-07-09,2018-07-27,2018-08-05,USD,17,13,312,12,8,0.1,582.9,1165.8,8393.76,4663.2,3730.5600000000004,2018,July,44.44444444444445
SO - 000427,In-Store,WARE-NMK1003,2018-04-10,2018-07-09,2018-08-02,2018-08-07,USD,7,44,183,6,1,0.15,2354.11,3859.2,3280.3199999999997,2354.11,926.2099999999996,2018,July,28.235355087308545
SO - 000428,In-Store,WARE-NBV1002,2018-04-10,2018-07-09,2018-07-29,2018-07-31,USD,3,4,69,41,6,0.05,100.5,167.5,954.75,603.0,351.75,2018,July,36.84210526315789
SO - 000429,Distributor,WARE-MKL1006,2018-04-10,2018-07-09,2018-07-15,2018-07-17,USD,21,22,330,24,8,0.05,891.3,1681.7,12780.92,7130.4,5650.52,2018,July,44.21058890909262
SO - 000430,Distributor,WARE-NMK1003,2018-04-10,2018-07-09,2018-08-06,2018-08-07,USD,22,38,137,3,8,0.05,665.71,924.6,7026.96,5325.68,1701.2799999999997,2018,July,24.210754010269017
SO - 000431,Distributor,WARE-NMK1003,2018-04-10,2018-07-09,2018-07-23,2018-08-02,USD,23,13,119,21,6,0.1,3371.44,3966.4,21418.56,20228.64,1189.920000000002,2018,July,5.555555555555564
SO - 000432,Online,WARE-PUJ1005,2018-04-10,2018-07-09,2018-07-27,2018-08-01,USD,15,19,283,43,7,0.1,450.24,938.0,5909.400000000001,3151.6800000000003,2757.7200000000003,2018,July,46.666666666666664
SO - 000433,In-Store,WARE-NBV1002,2018-04-10,2018-07-10,2018-08-01,2018-08-02,USD,7,20,81,30,6,0.2,1090.76,1983.2,9519.36,6544.5599999999995,2974.800000000001,2018,July,31.25000000000001
SO - 000434,In-Store,WARE-NMK1003,2018-04-10,2018-07-10,2018-07-21,2018-07-31,USD,10,27,165,7,7,0.08,2094.82,2586.2,16655.127999999997,14663.740000000002,1991.3879999999954,2018,July,11.956605797325578
SO - 000435,In-Store,WARE-NBV1002,2018-04-10,2018-07-11,2018-07-25,2018-08-02,USD,7,14,87,2,3,0.05,2051.47,3061.9,8726.415,6154.41,2572.005000000001,2018,July,29.473787345662572
SO - 000436,Wholesale,WARE-PUJ1005,2018-04-10,2018-07-11,2018-07-24,2018-07-31,USD,28,30,323,39,1,0.2,452.32,1051.9,841.5200000000001,452.32,389.2000000000001,2018,July,46.249643502234065
SO - 000437,Distributor,WARE-UHY1004,2018-04-10,2018-07-11,2018-07-16,2018-07-22,USD,21,11,225,2,8,0.15,104.52,261.3,1776.84,836.16,940.68,2018,July,52.94117647058824
SO - 000438,In-Store,WARE-NMK1003,2018-04-10,2018-07-11,2018-07-27,2018-08-01,USD,11,4,138,37,6,0.05,3071.95,6143.9,35020.229999999996,18431.699999999997,16588.53,2018,July,47.36842105263158
SO - 000439,Distributor,WARE-NMK1003,2018-04-10,2018-07-11,2018-07-31,2018-08-03,USD,20,45,143,43,7,0.2,1928.39,2472.3,13844.880000000003,13498.730000000001,346.15000000000146,2018,July,2.5002022408283886
SO - 000440,In-Store,WARE-PUJ1005,2018-04-10,2018-07-11,2018-07-26,2018-07-27,USD,2,6,316,9,3,0.08,3075.23,3892.7,10743.851999999999,9225.69,1518.1619999999984,2018,July,14.130518551446897
SO - 000441,In-Store,WARE-UHY1004,2018-04-10,2018-07-11,2018-08-05,2018-08-11,USD,11,33,216,14,1,0.05,492.05,964.8,916.56,492.05,424.50999999999993,2018,July,46.31557126647464
SO - 000442,In-Store,WARE-MKL1006,2018-04-10,2018-07-11,2018-07-30,2018-08-05,USD,2,46,342,12,8,0.2,3104.24,3832.4,24527.36,24833.92,-306.5599999999977,2018,July,-1.2498695334516134
SO - 000443,In-Store,WARE-NMK1003,2018-04-10,2018-07-11,2018-07-25,2018-08-02,USD,2,12,190,45,7,0.2,781.49,964.8,5402.88,5470.43,-67.55000000000018,2018,July,-1.2502591210613634
SO - 000444,In-Store,WARE-NMK1003,2018-04-10,2018-07-11,2018-07-24,2018-07-29,USD,6,48,122,40,1,0.05,794.42,1118.9,1062.955,794.42,268.53499999999997,2018,July,25.26306381737703
SO - 000445,Online,WARE-PUJ1005,2018-04-10,2018-07-11,2018-07-31,2018-08-06,USD,16,43,319,6,8,0.05,74.17,180.9,1374.84,593.36,781.4799999999999,2018,July,56.841523377265716
SO - 000446,Distributor,WARE-NMK1003,2018-04-10,2018-07-11,2018-08-07,2018-08-08,USD,22,23,96,24,7,0.05,346.12,844.2,5613.93,2422.84,3191.09,2018,July,56.84235464282597
SO - 000447,In-Store,WARE-NMK1003,2018-04-10,2018-07-11,2018-08-03,2018-08-06,USD,7,25,96,11,7,0.2,1780.26,3490.7,19547.92,12461.82,7086.0999999999985,2018,July,36.24989257169049
SO - 000448,Online,WARE-NBV1002,2018-04-10,2018-07-12,2018-08-08,2018-08-11,USD,20,39,66,9,5,0.2,778.54,1112.2,4448.8,3892.7,556.1000000000004,2018,July,12.500000000000009
SO - 000449,In-Store,WARE-NMK1003,2018-04-10,2018-07-12,2018-08-08,2018-08-15,USD,11,42,128,37,1,0.05,568.16,1072.0,1018.4,568.16,450.24,2018,July,44.21052631578948
SO - 000450,Distributor,WARE-XYS1001,2018-04-10,2018-07-12,2018-07-29,2018-08-04,USD,24,20,1,41,3,0.08,906.11,1078.7,2977.2120000000004,2718.33,258.8820000000005,2018,July,8.695450643084888
SO - 000451,Wholesale,WARE-PUJ1005,2018-04-10,2018-07-12,2018-07-26,2018-08-01,USD,26,10,273,25,7,0.08,3857.93,5433.7,34993.028000000006,27005.51,7987.518000000007,2018,July,22.826026944567378
SO - 000452,Online,WARE-PUJ1005,2018-04-10,2018-07-12,2018-07-14,2018-07-18,USD,16,17,309,24,8,0.05,3163.94,3906.1,29686.359999999997,25311.52,4374.8399999999965,2018,July,14.736869053666387
SO - 000453,Online,WARE-NMK1003,2018-04-10,2018-07-12,2018-07-20,2018-07-25,USD,13,21,103,30,4,0.15,2090.07,2458.9,8360.26,8360.28,-0.020000000000436557,2018,July,-0.00023922700969152341
SO - 000454,Distributor,WARE-UHY1004,2018-04-10,2018-07-12,2018-07-30,2018-08-01,USD,24,8,258,10,3,0.08,856.39,1112.2,3069.6720000000005,2569.17,500.5020000000004,2018,July,16.304738747331974
SO - 000455,In-Store,WARE-NMK1003,2018-04-10,2018-07-12,2018-07-16,2018-07-17,USD,10,31,149,47,4,0.05,745.71,1065.3,4048.1399999999994,2982.84,1065.2999999999993,2018,July,26.315789473684198
SO - 000456,In-Store,WARE-PUJ1005,2018-04-10,2018-07-12,2018-07-24,2018-07-30,USD,1,5,298,35,6,0.08,1359.7,1862.6,10281.552,8158.200000000001,2123.351999999999,2018,July,20.65205719914658
SO - 000457,Wholesale,WARE-PUJ1005,2018-04-10,2018-07-12,2018-07-31,2018-08-04,USD,27,11,273,7,7,0.2,1184.56,1822.4,10205.440000000002,8291.92,1913.5200000000023,2018,July,18.750000000000018
SO - 000458,Wholesale,WARE-NMK1003,2018-04-10,2018-07-12,2018-07-21,2018-07-29,USD,26,35,161,12,7,0.05,575.26,1065.3,7084.244999999999,4026.8199999999997,3057.4249999999993,2018,July,43.15809235846586
SO - 000459,Online,WARE-XYS1001,2018-04-10,2018-07-12,2018-07-24,2018-07-31,USD,17,26,29,16,3,0.05,4289.41,5875.9,16746.314999999995,12868.23,3878.0849999999955,2018,July,23.157840993675304
SO - 000460,In-Store,WARE-NMK1003,2018-04-10,2018-07-12,2018-08-01,2018-08-06,USD,1,10,151,22,3,0.08,708.73,1728.6,4770.936,2126.19,2644.7459999999996,2018,July,55.43453108572406
SO - 000461,Distributor,WARE-NMK1003,2018-04-10,2018-07-13,2018-07-18,2018-07-25,USD,24,50,125,45,4,0.05,2452.74,3832.4,14563.119999999999,9810.96,4752.16,2018,July,32.63146908080137
SO - 000462,Distributor,WARE-PUJ1005,2018-04-10,2018-07-13,2018-08-10,2018-08-17,USD,22,24,261,7,1,0.05,861.08,1025.1,973.8449999999999,861.08,112.76499999999987,2018,July,11.579358111403753
SO - 000463,Distributor,WARE-NMK1003,2018-04-10,2018-07-13,2018-08-02,2018-08-12,USD,24,1,115,45,4,0.05,944.16,1815.7,6899.66,3776.64,3123.02,2018,July,45.263389790221545
SO - 000464,In-Store,WARE-PUJ1005,2018-04-10,2018-07-13,2018-07-22,2018-07-25,USD,4,22,294,1,2,0.08,1689.2,3839.1,7063.944,3378.4,3685.5440000000003,2018,July,52.17402629465919
SO - 000465,In-Store,WARE-XYS1001,2018-04-10,2018-07-13,2018-07-15,2018-07-23,USD,10,15,56,14,1,0.05,1430.99,2425.4,2304.13,1430.99,873.1400000000001,2018,July,37.89456324078937
SO - 000466,In-Store,WARE-UHY1004,2018-04-10,2018-07-13,2018-07-16,2018-07-22,USD,6,38,218,13,6,0.15,1971.61,3865.9,19716.09,11829.66,7886.43,2018,July,39.999969568002584
SO - 000467,In-Store,WARE-MKL1006,2018-04-10,2018-07-13,2018-08-03,2018-08-07,USD,2,45,351,23,2,0.08,1857.24,2653.2,4881.888,3714.48,1167.408,2018,July,23.913043478260867
SO - 000468,Online,WARE-NMK1003,2018-04-10,2018-07-13,2018-07-27,2018-08-03,USD,13,42,90,3,2,0.15,594.96,991.6,1685.72,1189.92,495.79999999999995,2018,July,29.411764705882348
SO - 000469,Distributor,WARE-MKL1006,2018-04-10,2018-07-13,2018-07-21,2018-07-25,USD,23,9,345,28,5,0.1,2060.25,2512.5,11306.25,10301.25,1005.0,2018,July,8.88888888888889
SO - 000470,Distributor,WARE-XYS1001,2018-04-10,2018-07-14,2018-08-07,2018-08-17,USD,20,6,42,16,6,0.1,1332.63,2613.0,14110.2,7995.780000000001,6114.42,2018,July,43.33333333333333
SO - 000471,Distributor,WARE-MKL1006,2018-04-10,2018-07-14,2018-08-08,2018-08-11,USD,25,1,362,27,5,0.15,3375.86,5721.8,24317.649999999998,16879.3,7438.3499999999985,2018,July,30.588276416512283
SO - 000472,In-Store,WARE-UHY1004,2018-04-10,2018-07-14,2018-07-17,2018-07-24,USD,4,8,233,7,2,0.08,831.34,1768.8,3254.592,1662.68,1591.912,2018,July,48.91279767172045
SO - 000473,Online,WARE-UHY1004,2018-04-10,2018-07-14,2018-07-31,2018-08-04,USD,20,19,220,21,5,0.1,1251.02,2606.3,11728.35,6255.1,5473.25,2018,July,46.66683719363764
SO - 000474,Online,WARE-MKL1006,2018-04-10,2018-07-14,2018-07-22,2018-07-28,USD,18,10,332,34,8,0.1,1569.41,2452.2,17655.84,12555.28,5100.5599999999995,2018,July,28.88879826731551
SO - 000475,Distributor,WARE-UHY1004,2018-04-10,2018-07-14,2018-07-17,2018-07-23,USD,21,49,211,44,1,0.05,694.66,964.8,916.56,694.66,221.89999999999998,2018,July,24.210089901370342
SO - 000476,Distributor,WARE-NMK1003,2018-04-10,2018-07-15,2018-08-03,2018-08-10,USD,24,44,90,38,5,0.05,562.8,1125.6,5346.599999999999,2814.0,2532.5999999999995,2018,July,47.368421052631575
SO - 000477,Distributor,WARE-PUJ1005,2018-04-10,2018-07-15,2018-08-07,2018-08-09,USD,21,30,316,30,5,0.05,548.86,857.6,4073.6,2744.3,1329.2999999999997,2018,July,32.63206991358994
SO - 000478,In-Store,WARE-XYS1001,2018-04-10,2018-07-15,2018-07-19,2018-07-20,USD,5,37,28,2,7,0.08,1796.81,3906.1,25155.284000000003,12577.67,12577.614000000003,2018,July,49.99988869137793
SO - 000479,In-Store,WARE-NMK1003,2018-04-10,2018-07-15,2018-07-19,2018-07-23,USD,10,8,162,25,5,0.15,506.99,1078.7,4584.474999999999,2534.95,2049.5249999999996,2018,July,44.705773289198866
SO - 000480,Online,WARE-PUJ1005,2018-04-10,2018-07-15,2018-08-10,2018-08-13,USD,18,13,279,29,1,0.4,1264.69,2432.1,1459.26,1264.69,194.56999999999994,2018,July,13.33347038910132
SO - 000481,Online,WARE-NMK1003,2018-04-10,2018-07-15,2018-08-03,2018-08-12,USD,18,2,91,30,8,0.05,536.54,958.1,7281.5599999999995,4292.32,2989.24,2018,July,41.05219211267915
SO - 000482,Wholesale,WARE-NMK1003,2018-04-10,2018-07-16,2018-07-30,2018-08-07,USD,25,42,139,45,8,0.05,726.01,864.3,6568.679999999999,5808.08,760.5999999999995,2018,July,11.579190948561957
SO - 000483,In-Store,WARE-NMK1003,2018-04-10,2018-07-16,2018-07-27,2018-08-05,USD,7,40,146,8,2,0.05,700.08,864.3,1642.1699999999998,1400.16,242.00999999999976,2018,July,14.737207475474513
SO - 000484,In-Store,WARE-NMK1003,2018-04-10,2018-07-16,2018-07-29,2018-08-05,USD,1,40,194,36,6,0.08,579.22,891.1,4918.872,3475.32,1443.5520000000001,2018,July,29.347216191029162
SO - 000485,Online,WARE-NMK1003,2018-04-10,2018-07-16,2018-08-12,2018-08-15,USD,18,17,100,10,5,0.2,2069.5,3979.8,15919.2,10347.5,5571.700000000001,2018,July,34.999874365546006
SO - 000486,Online,WARE-UHY1004,2018-04-10,2018-07-16,2018-07-21,2018-07-25,USD,15,23,214,14,5,0.1,469.0,837.5,3768.75,2345.0,1423.75,2018,July,37.77777777777778
SO - 000487,Online,WARE-NBV1002,2018-04-10,2018-07-16,2018-08-06,2018-08-12,USD,18,28,77,10,2,0.05,1738.65,2318.2,4404.579999999999,3477.3,927.2799999999988,2018,July,21.05263157894735
SO - 000488,In-Store,WARE-XYS1001,2018-04-10,2018-07-16,2018-08-13,2018-08-17,USD,9,41,29,35,6,0.05,801.86,1822.4,10387.68,4811.16,5576.52,2018,July,53.683979483388015
SO - 000489,Distributor,WARE-MKL1006,2018-04-10,2018-07-16,2018-08-13,2018-08-21,USD,21,29,329,13,4,0.15,664.51,1165.8,3963.72,2658.04,1305.6799999999998,2018,July,32.94077280938109
SO - 000490,Distributor,WARE-XYS1001,2018-04-10,2018-07-16,2018-07-18,2018-07-26,USD,22,11,41,16,7,0.05,187.6,234.5,1559.425,1313.2,246.2249999999999,2018,July,15.78947368421052
SO - 000491,Online,WARE-UHY1004,2018-04-10,2018-07-17,2018-07-20,2018-07-22,USD,19,11,240,28,5,0.4,1912.72,2452.2,7356.599999999999,9563.6,-2207.000000000001,2018,July,-30.00027186472013
SO - 000492,In-Store,WARE-MKL1006,2018-04-10,2018-07-17,2018-07-26,2018-07-29,USD,4,19,331,11,8,0.05,133.26,261.3,1985.8799999999999,1066.08,919.8,2018,July,46.31699800592181
SO - 000493,Distributor,WARE-NBV1002,2018-04-10,2018-07-17,2018-08-10,2018-08-20,USD,21,29,85,4,4,0.1,453.99,1031.8,3714.48,1815.96,1898.52,2018,July,51.11132648446082
SO - 000494,Online,WARE-MKL1006,2018-04-10,2018-07-17,2018-07-25,2018-08-01,USD,17,18,349,20,3,0.1,1849.2,3082.0,8321.4,5547.6,2773.7999999999993,2018,July,33.33333333333333
SO - 000495,Distributor,WARE-PUJ1005,2018-04-10,2018-07-17,2018-08-13,2018-08-16,USD,22,27,311,8,3,0.05,3138.55,6405.2,18254.819999999996,9415.650000000001,8839.169999999995,2018,July,48.42101976354736
SO - 000496,In-Store,WARE-NMK1003,2018-04-10,2018-07-17,2018-08-12,2018-08-22,USD,9,22,162,16,6,0.05,947.65,1822.4,10387.68,5685.9,4701.780000000001,2018,July,45.26304237327296
SO - 000497,Wholesale,WARE-NMK1003,2018-04-10,2018-07-17,2018-08-05,2018-08-11,USD,28,29,181,27,8,0.05,1062.15,1279.7,9725.72,8497.2,1228.5199999999986,2018,July,12.631661203489292
SO - 000498,Online,WARE-PUJ1005,2018-04-10,2018-07-17,2018-07-25,2018-07-30,USD,19,3,283,36,1,0.2,2635.04,3932.9,3146.32,2635.04,511.2800000000002,2018,July,16.250095349487662
